prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
香川県,takamijima Island,高見島,たかみじま,仲多度郡多度津町,2.36,,
香川県,sanagishima Island,佐柳島,さなぎしま,仲多度郡多度津町,1.83,,
香川県,awashima Island,粟島,あわしま,三豊市,3.72,,
香川県,shishijima Island,志々島,ししじま,三豊市,0.74,,
香川県,ibukijima Island,伊吹島,いぶきじま,観音寺市,1.01,,
愛媛県,uoshima Island,魚島,うおしま,越智郡上島町,1.36,,
愛媛県,takaikamishima Island,高井神島,たかいかみしま,越智郡上島町,1.34,,
愛媛県,yugejima Island,弓削島,ゆげじま,越智郡上島町,8.68,,
愛媛県,sashima Island,佐島,さしま,越智郡上島町,2.68,,
愛媛県,ikinajima Island,生名島,いきなじま,越智郡上島町,3.67,,
愛媛県,iwagijima Island,岩城島,いわぎじま,越智郡上島町,8.95,,
愛媛県,akahonejima Island,赤穂根島,あかほねじま,越智郡上島町,2.09,,
愛媛県,oomishima Island,大三島,おおみしま,今治市,64.57,,
愛媛県,hakatajima Island,伯方島,はかたじま,今治市,20.99,,
愛媛県,ushima Island,鵜島,うしま,今治市,0.76,,
愛媛県,ooshima Island,大島,おおしま,今治市,41.88,,
愛媛県,tsushima Island,津島,つしま,今治市,1.43,,
愛媛県,okamurajima Island,岡村島,おかむらじま,今治市,3.17,,
愛媛県,koogeshima Island,小大下島,こおげしま,今治市,0.9,,
愛媛県,oogeshima Island,大下島,おおげしま,今治市,1.81,,
愛媛県,kurushima Island,来島,くるしま,今治市,0.04,,
愛媛県,oshima Island,小島,おしま,今治市,0.5,,
愛媛県,umashima Island,馬島,うましま,今治市,0.5,,
愛媛県,hikijima Island,比岐島,ひきじま,今治市,0.3,,
愛媛県,ooshima Island,大島,おおしま,新居浜市,2.14,,
愛媛県,aijima Island,安居島,あいじま,松山市,0.26,,
愛媛県,gogoshima Island,興居島,ごごしま,松山市,8.4,,
愛媛県,tsurushima Island,釣島,つるしま,松山市,0.36,,
愛媛県,nogutsunajima Island,野忽那島,のぐつなじま,松山市,0.92,,
愛媛県,muzukijima Island,睦月島,むづきじま,松山市,3.81,,
愛媛県,nakajima Island,中島,なかじま,松山市,21.27,,
愛媛県,nuwajima Island,怒和島,ぬわじま,松山市,4.75,,
愛媛県,tsuwajishima Island,津和地島,つわじしま,松山市,2.85,,
愛媛県,futagamijima Island,二神島,ふたがみじま,松山市,2.13,,
愛媛県,aoshima Island,青島,あおしま,大洲市,0.49,,
愛媛県,ooshima Island,大島,おおしま,八幡浜市,0.75,,
愛媛県,kushima Island,九島,くしま,宇和島市,3.37,,
